DATA;DATAFINAL;DESCRICAO;ENDERECO;ESTIMATIVAPUBLICO;NOMELOCAL
02/Jan/2026;04/Jan/2026;Feira cultural;Avenida Afonso Pena, 1000, Centro, Belo Horizonte/MG;500;Praça Sete
03/Jan/2026;05/Jan/2026;Show musical;Rua da Bahia, 1500, Lourdes, Belo Horizonte/MG;20000;Sesc Palladium
07/Jan/2026;08/Jan/2026;Evento esportivo;Avenida Antônio Carlos, 3000, Pampulha, Belo Horizonte/MG;50000;Mineirão
10/Jan/2026;12/Jan/2026;Evento gastronômico;Rua Espírito Santo, 900, Centro, Belo Horizonte/MG;2000;Mercado Central
15/Jan/2026;17/Jan/2026;Exposição de arte;Avenida Álvares Cabral, 400, Centro, Belo Horizonte/MG;800;Palácio das Artes
01/Fev/2026;03/Fev/2026;Show ao vivo;Rua Pium-í, 800, Sion, Belo Horizonte/MG;15000;Arena Hall
06/Fev/2026;08/Fev/2026;Apresentação teatral;Rua Rio de Janeiro, 600, Centro, Belo Horizonte/MG;600;Teatro Francisco Nunes
14/Fev/2026;16/Fev/2026;Festival de rua;Rua dos Timbiras, 1200, Funcionários, Belo Horizonte/MG;30000;Praça da Liberdade
14/Fev/2026;17/Fev/2026;Show musical;Rua da Bahia, 1500, Lourdes, Belo Horizonte/MG;25000;Sesc Palladium
20/Fev/2026;22/Fev/2026;Feira de livros;Avenida Brasil, 1300, Funcionários, Belo Horizonte/MG;1000;Biblioteca Pública Estadual
01/Mar/2026;02/Mar/2026;Festival gastronômico;Rua Sapucaí, 500, Floresta, Belo Horizonte/MG;3000;Rua Sapucaí Mirante
05/Mar/2026;07/Mar/2026;Evento esportivo;Avenida Antônio Carlos, 3000, Pampulha, Belo Horizonte/MG;60000;Mineirão
09/Mar/2026;11/Mar/2026;Evento gastronômico;Rua Espírito Santo, 900, Centro, Belo Horizonte/MG;5000;Mercado Central
14/Mar/2026;16/Mar/2026;Feira cultural;Avenida Afonso Pena, 1000, Centro, Belo Horizonte/MG;400;Praça Sete
21/Mar/2026;21/Mar/2026;Show ao vivo;Rua Pium-í, 800, Sion, Belo Horizonte/MG;8000;Arena Hall
01/Abr/2026;02/Abr/2026;Exposição de arte;Avenida Álvares Cabral, 400, Centro, Belo Horizonte/MG;1200;Palácio das Artes
04/Abr/2026;05/Abr/2026;Apresentação teatral;Rua Rio de Janeiro, 600, Centro, Belo Horizonte/MG;700;Teatro Francisco Nunes
08/Abr/2026;10/Abr/2026;Show musical;Rua da Bahia, 1500, Lourdes, Belo Horizonte/MG;18000;Sesc Palladium
08/Abr/2026;09/Abr/2026;Festival de rua;Rua dos Timbiras, 1200, Funcionários, Belo Horizonte/MG;10000;Praça da Liberdade
15/Abr/2026;17/Abr/2026;Festival gastronômico;Rua Sapucaí, 500, Floresta, Belo Horizonte/MG;2500;Rua Sapucaí Mirante
02/Mai/2026;03/Mai/2026;Show ao vivo;Rua Pium-í, 800, Sion, Belo Horizonte/MG;12000;Arena Hall
06/Mai/2026;08/Mai/2026;Evento esportivo;Avenida Antônio Carlos, 3000, Pampulha, Belo Horizonte/MG;75000;Mineirão
10/Mai/2026;11/Mai/2026;Feira de livros;Avenida Brasil, 1300, Funcionários, Belo Horizonte/MG;900;Biblioteca Pública Estadual
15/Mai/2026;16/Mai/2026;Evento gastronômico;Rua Espírito Santo, 900, Centro, Belo Horizonte/MG;4000;Mercado Central
15/Mai/2026;17/Mai/2026;Feira cultural;Avenida Afonso Pena, 1000, Centro, Belo Horizonte/MG;200;Praça Sete
05/Jun/2026;07/Jun/2026;Show musical;Rua da Bahia, 1500, Lourdes, Belo Horizonte/MG;22000;Sesc Palladium
10/Jun/2026;12/Jun/2026;Exposição de arte;Avenida Álvares Cabral, 400, Centro, Belo Horizonte/MG;1500;Palácio das Artes
12/Jun/2026;14/Jun/2026;Apresentação teatral;Rua Rio de Janeiro, 600, Centro, Belo Horizonte/MG;800;Teatro Francisco Nunes
18/Jun/2026;20/Jun/2026;Festival de rua;Rua dos Timbiras, 1200, Funcionários, Belo Horizonte/MG;40000;Praça da Liberdade
25/Jun/2026;27/Jun/2026;Festival gastronômico;Rua Sapucaí, 500, Floresta, Belo Horizonte/MG;6000;Rua Sapucaí Mirante
